acid,epoxide,pca1,pca2,dist,tg
O=C(O)CCCCC(=O)O,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCc2ccccc2)c(OCC2CO2)c1,2.3068,-1.9250,5.1059,354.6850
O=C(O)CCCCC(=O)O,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(-c2ccccc2)c(OCC2CO2)c1,1.9819,-2.4333,5.4583,369.7946
O=C(O)CCCCC(=O)O,Cc1ccc(CC2CO2)c(OCC2CO2)c1,2.8803,0.1996,5.9215,351.1414
O=C(O)CCCCC(=O)O,CC(CCCC1CO1)c1ccc(OCC2CO2)cc1,3.6408,2.7482,5.9721,316.2053
O=C(O)CCCCC(=O)O,CCc1ccc(OCC2CO2)c(OCC2CO2)c1,2.7636,-1.0025,6.1277,328.2790
O=C(O)CCCCC(=O)O,CC(C)(C(=O)NCc1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,2.3032,-2.3849,6.2073,378.3658
O=C(O)CCCCC(=O)O,CC(C)c1ccc(C(C)CC2CO2)c(OCC2CO2)c1,3.3274,0.5611,6.4249,338.6240
O=C(O)CCCCC(=O)O,CC(C)(Oc1ccc(OCC2CO2)cc1)C1CO1,2.9106,-1.3867,6.4400,326.8902
O=C(O)CCCCC(=O)O,O=C(c1ccc(OCC2CO2)cc1)N1CCOc2cc(OCC3CO3)ccc2C1,2.1741,-2.1607,6.8885,354.4255
O=C(O)CCCCC(=O)O,CC(C)OC(=O)c1ccc(OCC2CO2)cc1OCC1CO1,2.2827,-2.6091,6.9216,350.2023
O=C(O)CCCCC(=O)O,CC(C)C(OCc1ccccc1)c1ccc(OCC2CO2)c(OCC2CO2)c1,2.6197,-1.4796,7.1358,338.6028
O=C(O)CCCCC(=O)O,CC(CC1CO1)(Oc1ccc(OCCC2CO2)cc1)c1ccccc1,2.8936,-0.4579,7.5594,320.0739
O=C(O)CCCCC(=O)O,CCc1ccc(Oc2ccc(OCc3ccccc3)cc2C(=O)c2ccc(OCC3CO3)cc2OCC2CO2)cc1,1.9939,-2.5513,8.4184,369.0663
O=C(O)CCCCC(=O)O,CC(=O)c1c(NC(=O)c2cc(OCc3ccccc3)ccc2OCC2CO2)cc(C(N)=O)cc1OCC1CO1,2.2950,-1.9305,9.1629,364.2410
O=C(O)CCCCC(=O)O,CCc1ccc(C(c2ccccc2)(c2ccc(OCC3CO3)cc2)c2ccc(OCC3CO3)cc2)cc1,2.3528,-0.3928,9.4754,352.1039
O=C(O)CCCCC(=O)O,Cc1ccc(OCC2CO2)c(C(=O)NCCc2ccc(C)c(OCC3CO3)c2)c1,2.8276,0.0502,9.6985,360.5078
O=C(O)CCCCC(=O)O,Cc1ccc(OC(C)(C)c2ccc(NC(C)COCC3CO3)cc2)c(COCC2CO2)c1,2.9721,-0.5628,9.9960,333.0388
O=C(O)CCCCC(=O)O,Cc1ccc(CC(O)c2ccc(C(=O)Oc3ccccc3OCC3CO3)cc2)c(OCC2CO2)c1,2.3283,-0.9543,10.0944,360.9850
O=C(O)CCCCC(=O)O,CC(C)(C)c1ccc(CCCC2CO2)c(OCC2CO2)c1,4.0711,4.5509,10.1775,296.8221
O=C(O)CCCCC(=O)O,Cc1ccc(OCc2ccc(OCC3CO3)cc2)cc1OCCOCC1CO1,3.0134,-0.9654,10.2023,320.6555
O=C(O)CCCCC(=O)O,CCc1[nH]ncc1CCNC(CCC1CO1)CC1CO1,3.9428,3.7736,10.3320,294.0596
O=C(O)CCCCC(=O)O,CC(C)c1ccc(OCCN(CC2CO2)CC2CO2)cc1,3.1459,0.8156,10.5476,300.1112
O=C(O)CCCCC(=O)O,COc1cc(Cc2ccc3cccc(OCC4CO4)c3n2)c2c(OCC3CO3)cccc2n1,2.8113,0.1864,10.8940,365.2514
O=C(O)CCCCC(=O)O,CC(=O)Nc1ccc(OCCc2ccc(OCC3CO3)c(OCC3CO3)c2)cc1,3.1227,0.1029,11.4000,331.6762
O=C(O)CCCCC(=O)O,c1ccc(COc2ccc(-c3ccc(OCCOCC4CO4)cc3)cc2OCCc2ccc(OCCOCC3CO3)cc2)cc1,3.5381,-0.0814,11.4056,270.2953
O=C(O)CCCCC(=O)O,Cc1ccc(COc2ccc(OCC3CO3)cc2OCC2CO2)c(Nc2ccc(Oc3ccccc3)cc2)c1,2.3831,-1.2717,12.1130,341.1693
O=C(O)CCCCC(=O)O,Cc1ccc(CC(C)(C)COC(Cc2ccc(OCC3CO3)cc2)c2ccc(OCC3CO3)cn2)nc1,3.7959,2.2414,12.2490,323.1185
O=C(O)CCCCC(=O)O,CC(O)(COCC1CO1)OCc1cccc(OCC2CO2)c1,3.6480,0.1964,12.4698,299.2450
O=C(O)CCCCC(=O)O,CC(C)c1ccc(Cc2ccccc2)c(-c2ccc(-c3ccccc3)cc2-c2cccc(C(c3cccc(OCC4CO4)c3)c3cc(OCC4CO4)cc(-c4ccccc4)c3-c3ccccc3)c2)c1,2.2764,0.5529,12.4960,375.3366
O=C(O)CCCCC(=O)O,Nc1ccc(OCC2CO2)c(OCC2CO2)c1-c1ccc(OCc2ccc(OCc3ccccc3)cc2)cc1,2.1452,-3.2821,12.6190,369.2663
O=C(O)CCCCC(=O)O,CCc1ccc(C(=O)c2cccc(CC(=O)c3cccc(C(=O)c4ccc(OCC5CO5)cc4OCC4CO4)c3)c2)cc1,2.6121,0.3750,13.3192,350.0155
O=C(O)CCCCC(=O)O,CC(NCNc1ccccc1)C(N(CCOCC1CO1)CCOc1ccc(OCC2CO2)cc1)N(C)c1ccccc1,2.0027,-2.5461,14.0805,326.0946
O=C(O)CCCCC(=O)O,COC(=O)c1ccc(C)cc1CCC(C)Cc1cc(CC2CO2)cc(OCC2CO2)c1,2.7364,-1.9019,14.0921,355.2898
O=C(O)CCCCC(=O)O,NNc1ccc(-c2ccc(OCC3CO3)c(OCC3CO3)c2)cc1-c1ccc(-c2ccccc2)cc1,1.7381,-3.3976,14.2318,354.1250
O=C(O)CCCCC(=O)O,c1cc(CCC2CO2)ncc1CCCCC1CO1,4.2480,4.4165,14.3767,301.1113
O=C(O)CCCCC(=O)O,Cc1nccc2c(-c3cccc4c(OCC5CO5)ccnc34)ccc(OCC3CO3)c12,3.2436,-0.2320,15.1117,326.8459
O=C(O)CCCCC(=O)O,c1cnc(CCCCc2ccc(Cc3ccc(Cc4ccc(OCC5CO5)cc4)nn3)nn2)c(CCc2cc3cccc(OCC4CO4)c3nn2)c1,4.2891,5.3073,15.9420,309.5465
O=C(O)CCCCC(=O)O,CCC(c1ccccc1)(c1ccc(OCc2ccccc2)cc1)c1cc(OCC2CO2)c(OCc2ccccc2)cc1OCC1CO1,2.5767,-2.3912,15.9562,359.9852
O=C(O)CCCCC(=O)O,Cc1ccc(-c2ccc(-c3ccccc3)cc2)c(-c2ccc(-c3ccc(Oc4ccccc4)c(-c4ccc(OCC5CO5)cc4)c3)c(OCC3CO3)c2)c1,1.1328,-2.0842,16.3408,390.8636
O=C(O)CCCCC(=O)O,O=CCc1ccccc1OCc1ccc(OCc2ccc(OCC3CO3)c(OCC3CO3)c2)c2cccc(Oc3ccccc3)c12,2.5052,-0.7580,16.3883,352.6771
O=C(O)CCCCC(=O)O,CCNC(=O)c1ccc(Cc2ccc(OCCc3ccc(OCCNCCc4ccc(OCC5CO5)c(OCC5CO5)c4)cc3)cc2)cc1,3.2627,0.8586,17.3556,346.9431
O=C(O)CCCCC(=O)O,CC(NCC1CO1)C1CO1,2.1240,-1.7863,17.5107,368.1725
O=C(O)CCCCC(=O)O,CCc1ccc(Cc2ccc(OCC3CO3)cc2)c(NCc2ccc(OCCCc3ccc(OCC4CO4)cc3)cc2)c1,3.5410,1.7740,17.5744,326.9073
O=C(O)CCCCC(=O)O,OCOc1ccc(OCCOc2ccc(OCCOCC3CO3)c(OCCOCCOCC3CO3)c2)c(OCCOc2ccc(OCc3ccccc3)cc2)c1,3.8862,2.3977,18.7858,235.8364
O=C(O)CCCCC(=O)O,c1ccc(CN(CCOCC2CO2)CCc2ccc(OCCOCC3CO3)cc2)nc1,4.1947,3.1464,19.2440,271.1405
O=C(O)CCCCC(=O)O,CCOc1ccc(Oc2ccc(OCC3CO3)cc2OCC2CO2)c(OC2CCNCC2)c1,2.9419,-0.9478,19.3581,252.8640
O=C(O)CCCCC(=O)O,N#Cc1cccc(Nc2ccccc2Nc2ccc(COCCOCc3ccc(OCc4cccc(Nc5ccc(COCC6CO6)c(COCC6CO6)c5)c4)cc3)cc2)c1,3.1223,0.5235,19.4755,310.0717
