acid,epoxide,tg_pred,pca1,pca2
CCOCCCN(CCCOCC(=O)O)CCOCCOCC(=O)O,CCOc1cc(CC(=O)N(CCOCC2CO2)CCc2ccccc2)ccc1OCCOCC1CO1,249.5733,3.5545,2.1258
CCCCOCCCN(CCCOCC(=O)O)CCOCC(=O)O,COCc1ccc(CN(CCOCC2CO2)CCOCC2CO2)cc1,246.4176,3.8763,1.0733
COCCN(CCCOCC(=O)O)CCOCC(=O)O,CC(C)OCc1cccc(OCCN(CCOCC2CO2)CCOCC2CO2)c1,246.3196,3.9596,1.8285
CCOCCN(CCOCCOCC(=O)O)CCOCC(=O)O,CC(C)COCc1cc(COCC2CO2)cc(COCC2CO2)c1,249.6918,3.3291,3.2263
CCN(CCCN(CCOCC(=O)O)CCOCC(=O)O)CCN1CCOCC1,c1cc(CNCCc2ccccc2OCC2CO2)cc(OCCCOCC2CO2)c1,249.7560,3.6263,2.6160
CCOCCN(CCOCCOCC(=O)O)CCOCC(=O)O,COCc1ccc(N(CCCOCC2CO2)CCOCC2CO2)cc1,246.2269,3.5620,2.5354
COCCOCCN(CCCOCC(=O)O)CCOCC(=O)O,COC(=O)CCN(CCCOCC1CO1)CCOCC1CO1,249.8099,3.8860,2.2188
COCCCN(CCCOCC(=O)O)CCOCC(=O)O,CC(COCc1cccc(OCC2CO2)c1)CN(CCOCC1CO1)CCc1ccccc1,246.0397,3.4847,1.9174
CC(C)CCOCCN(CCCOCC(=O)O)CCOCC(=O)O,CCOc1cccc(CN(CCCOCC2CO2)CCOCC2CO2)c1,246.0099,4.9891,1.2613
CC(C)CCOCCN(C)CCCN(CCOCCC(=O)O)CCC(=O)O,CCCOCc1cc(CNCCCOCC2CO2)cc(OC)c1OCC1CO1,246.0040,4.8173,2.1206
CCCOCCN(CCCOCC(=O)O)CCOCC(=O)O,CCCCN(CCCOCC1CO1)Cc1ccccc1OCCOCC1CO1,245.9979,3.9028,2.1769
CCOCCCN(CCOCCOCC(=O)O)CCOCC(=O)O,COCCCOCc1ccc(OCC2CO2)c(OCC2CO2)c1,245.9784,3.5653,2.5271
CCCCN(CCCOCC(=O)O)CCOCC(=O)O,CC(CCN(CCCOCC1CO1)CCOCC1CO1)NCc1ccccc1,250.1445,4.2096,2.0604
CC(C)OCCOCCN(CCCOCC(=O)O)CCOCC(=O)O,CCOCCOCc1cccc(OCC2CO2)c1OCC1CO1,250.1734,2.2802,0.7027
COCCN(CCCOCC(=O)O)CCOCCOCC(=O)O,N#COCc1ccc(CN(CCOCC2CO2)CCOCC2CO2)cc1,250.2083,4.0087,1.9531
CC(C)COCCN(CCCOCC(=O)O)CCOCC(=O)O,CCOc1cc(CCN(CCOCC2CO2)CCOCC2CO2)ccc1OCc1ccccc1,245.7384,3.3939,2.2775
CCOCCN(CCOCCOCC(=O)O)CCOCC(=O)O,CC(C)(COCc1cccc(COCC2CO2)c1)NCCCOCC1CO1,245.7073,3.3523,3.2447
CCOCCN(CCCOCC(=O)O)CCN(C)CCCOCC(=O)O,CCOCCOCC(=O)C=Cc1ccc(OCC2CO2)c(OCC2CO2)c1,245.6993,4.1998,2.0536
CCOCCCN(CCOCC(=O)O)CCOCC(=O)O,COCCCOCCN(CC1CO1)CC1CO1,250.3140,4.0726,1.7677
COCCN(CCCOCC(=O)O)CCOCC(=O)O,COCc1cccc(OCCN(CCOCC2CO2)CCOCC2CO2)c1,245.6489,3.9075,1.8798
CCOC(CC)CN(CCOCCC(=O)O)CCC(=O)O,N#CCCOc1ccccc1CN(CCOCC1CO1)CCOCC1CO1,250.3528,4.0040,2.7681
CC(C)NCCCN(CCOCC(=O)O)CCOCC(=O)O,COCCOCc1ccccc1CN(CCCOCC1CO1)CCOCC1CO1,250.4017,3.1639,2.2731
O=C(O)CCOCCCN(CCC(=O)O)CCC(=O)OCCC1CCC1,CCCCOc1cccc(CN(CCOCC2CO2)CCOCC2CO2)c1,250.4035,4.2465,1.8392
CCCCOCCCN(CCCOCC(=O)O)CCOCC(=O)O,COCc1cccc(CN(CCOCC2CO2)CCOCC2CO2)c1,245.4745,3.9154,1.0569
CCCCN(CCCOCC(=O)O)CCOCC(=O)O,COCCc1cccc(COCCN(CCCOCC2CO2)CCOCC2CO2)c1,245.4315,3.7682,3.0433
CC(C)COCCN(CCCOCC(=O)O)CCOCC(=O)O,COCCCN(CCOCC1CO1)Cc1cccc(COCC2CO2)c1,250.6151,4.1041,2.5868
CNCCCOCCN(CCOCCOCC(=O)O)CCOCC(=O)O,OCCOCCc1cccc(OCC2CO2)c1OCC1CO1,250.6499,3.4105,1.7744
COCCCN(CCOCC(=O)O)CCN(CCOCC(=O)O)CC1CCCC1,CCOCc1ccccc1CN(CCOCC1CO1)CCOCC1CO1,245.2857,3.7697,1.0991
CCCOCCCNCCCN(CCOCC(=O)O)CCOCC(=O)O,COCc1cc(OCCN(CC2CO2)CC2CO2)ccc1OCCN(C)C,245.2493,4.5808,0.9502
COCCCN(CCCOCC(=O)O)CC(=O)NCCOCC(=O)O,COCCc1cccc(COCCN(CCOCC2CO2)CCOCC2CO2)c1,245.2453,3.7458,3.0270
CC(C)COCCN(CCCOCC(=O)O)CCOCC(=O)O,COCCCOc1cccc(CN(CCCOCC2CO2)CCOCC2CO2)c1,245.2206,4.0423,2.0052
CC(C)COCCN(CCCOCC(=O)O)CCOCC(=O)O,CCOCCCN(CCOCC1CO1)Cc1ccc(COCC2CO2)cc1,245.2124,3.3654,2.3800
CC(CCOCc1ccccc1CN(CCC(=O)O)CCC(=O)O)OCc1ccccc1,CCOCCCN(CCOCC1CO1)CCOCC1CO1,245.2063,4.0287,1.9362
CCCCOCCN(CCCOCC(=O)O)CCOCC(=O)O,COc1ccc(CN(CCCOCC2CO2)C(C)C)cc1OCCOCC1CO1,250.8078,4.7333,1.5761
CCOCCCN(CCCOCC(=O)O)CCOCC(=O)O,COCCCN(CCOCC1CO1)Cc1ccc(COCC2CO2)cc1,245.1679,4.7815,2.1465
CCC(=O)CCOCCN(CCC(=O)O)CCC(=O)O,COCCCOCCN(CCOCC1CO1)CCOCC1CO1,245.1550,4.0148,2.5392
CCCOCCN(CCCOCC(=O)O)CCN(CCOCC(=O)O)CCC(C)C,CN(C)CC(OCCc1ccc(OCC2CO2)c(OCC2CO2)c1)c1ccccc1,245.1269,3.4613,1.3295
CCCCN(CCCOCC(=O)O)CCN(C)CCOCC(=O)O,CC(C)(COCCOCC1CO1)NCCOCc1ccc(OCC2CO2)cc1,245.0583,3.2230,1.7144
CCCN(CCOCCC(=O)O)CCC(=O)O,COCCOc1ccccc1CN(CCCOCC1CO1)CCOCC1CO1,250.9652,3.6269,1.2848
CCOCCCN(CCCOCC(=O)O)CCOCC(=O)O,COCCCOCCN(CC1CO1)CC1CO1,245.0124,4.1332,1.6858
CCC(=O)CCOCCN(CCC(=O)O)CCC(=O)O,COCCOCCCN(CCOCC1CO1)CCOCC1CO1,244.8906,3.9868,2.5735
COCCCN(CCCOCC(=O)O)CC(=O)NCCCOCC(=O)O,CCOCc1cccc(CN(CCOCC2CO2)CCOCC2CO2)c1,251.1334,4.5406,2.3696
COCCCN(CCCOCC(=O)O)CCOCC(=O)O,COc1cccc(CN(CCCOCC2CO2)CCOCC2CO2)c1,251.1441,4.4901,2.4112
CCOCCCN(CCCOCC(=O)O)CCOCC(=O)O,COCCCN(CCOCC1CO1)Cc1ccccc1COCC1CO1,244.8199,4.7796,2.0796
COCCCNCC(CCOCC(=O)O)COCC(=O)O,CCOCCCN(CCCOCC1CO1)CCOCC1CO1,244.7630,3.8713,2.7647
CCOCCCN(CCOCC(=O)O)CCN(C)CCCOCC(=O)O,CCOc1cccc(CCOCC2CO2)c1OCCOCC1CO1,251.2417,3.3862,1.5186
CCCOCCN(CCCOCC(=O)O)CCOCC(=O)O,COc1ccc(CCOCC2CO2)cc1OCCCN(C)Cc1ccccc1OCCOCC1CO1,244.7488,3.8400,2.3564
COCCCN(CCCOCC(=O)O)CCOCC(=O)O,CCOCc1cccc(CN(CCCOCC2CO2)CCOCC2CO2)c1,251.2698,4.6013,2.2745
CCOCCN(CCCOCC(=O)O)CCN(C)CCCOCC(=O)O,CCCOCCOCC(=O)c1cc(OCC2CO2)ccc1OCC1CO1,251.2874,4.2028,2.0359
COCCOCCN(CCCOCC(=O)O)CCOCC(=O)O,c1ccc(CN(CCCOCC2CO2)CCOCC2CO2)cc1,251.3159,3.9941,2.3794
CCCOCCCNCCCN(CCOCC(=O)O)CCOCC(=O)O,COCc1cc(OCCN(CC2CO2)CC2CO2)ccc1OCCN1CCCCC1,244.6432,4.6195,0.9443
CCCOCCN(CCCOCC(=O)O)CCN(CCOCC(=O)O)CCC(C)C,O=C(NCCCOCC1CO1)c1ccc(OCCOCCOCC2CO2)cc1,244.6270,3.4087,1.3149
CCCCOCCN(CCCOCC(=O)O)CCOCC(=O)O,CCCCN(CCCOCC1CO1)CC(=O)NCc1ccccc1OCCOCC1CO1,251.3862,4.3930,3.4377
CCOCCN(CCOCCOCC(=O)O)CCOCC(=O)O,COCCCOc1cc(C(C)COCC2CO2)ccc1OCCOCC1CO1,244.5597,3.3288,3.2810
COCc1ccc(CN(CCOCCOCC(=O)O)CCOCC(=O)O)cc1,CCOC(=O)CCCN(CCOCC1CO1)CCOCC1CO1,251.4406,3.2471,1.9161
O=C(O)CCOCCN(CCNCCCCOCC(=O)O)CCc1ccccc1,O=C(CCN(CCOCC1CO1)CCOCC1CO1)NCCO,251.4678,4.3829,1.4798
CC(C)COCCCN(CCOCC(=O)O)CCOCC(=O)O,COCCCN(CCOCC1CO1)CCOCC1CO1,244.4839,3.5570,2.0456
CN(C)CCCOCCN(CCCOCC(=O)O)CCOCC(=O)O,COCCCOc1cc(CN(CC2CO2)CC2CO2)ccc1OC,251.5424,3.8607,2.5508
CCOCCCN(CCCOCC(=O)O)CCOCC(=O)O,C#CCOc1ccccc1CN(CCCOCC1CO1)CCOCC1CO1,251.5546,3.9989,0.9961
CCCCN(CCCOCC(=O)O)CCOCC(=O)O,CC(C)CCOCCCN(CC1CO1)CC1CO1,251.5790,3.8322,2.4485
COCCOCCCN(CCCOCC(=O)O)CCOCC(=O)O,CCOCCCOCCc1cccc(OCC2CO2)c1OCC1CO1,244.3928,4.2832,2.1123
COCCCN(CCCOCC(=O)O)CCOCC(=O)O,CCOCc1cccc(CN(CCOCC2CO2)CCOCC2CO2)c1,251.6157,4.5086,2.3889
CC(C)COCCN(CCCOCC(=O)O)CCOCC(=O)O,CCOc1cc(CCN(CCOCC2CO2)CCOCC2CO2)ccc1OCCc1ccccc1,244.3784,3.3641,2.4018
COCCN(CCCOCC(=O)O)CCOCC(=O)O,COCCCOCCCN(CC1CO1)CC1CO1,251.7726,3.7020,2.8905
CCCN(CCCOCC(=O)O)CCOCCOCC(=O)O,CCOCc1cc(CN(CCOCC2CO2)CCOCC2CO2)ccc1OC,244.2180,4.1381,1.4560
CCOCCCN(CCCOCC(=O)O)CCOCC(=O)O,COCCN(CCCOCC1CO1)C(=O)C=Cc1ccc(OC)c(OCCOCC2CO2)c1,251.8187,5.0843,2.3476
COCCCN(CCCOCC(=O)O)CCOCC(=O)O,COCCc1cccc(COCCN(CCCOCC2CO2)CCOCC2CO2)c1,244.1529,3.7987,3.0142
O=C(O)CCN(CCNCCOCC1CCC1)CCC(=O)O,COC(CCOCC1CO1)Cc1ccc(OCCOCC2CO2)cc1,244.0984,3.5470,1.9452
CCCOC(CC)CN(CCOCCC(=O)O)CCC(=O)O,C=CCCOc1ccccc1CN(CCOCC1CO1)CCOCC1CO1,244.0077,3.9406,2.8455
COCCCN(CCCOCC(=O)O)CCN(C)CCCOCC(=O)O,COCCCNCc1ccc(OCC2CO2)c(OCC2CO2)c1,252.0016,4.0462,1.6890
CCOCCN(CCCOCC(=O)O)CCNCCOCC(=O)O,CCCOCc1cc(CNCCOCC2CO2)ccc1COCC1CO1,243.9730,2.9594,2.4317
CCCOCCN(CCCOCC(=O)O)CCOCC(=O)O,CCCCN(CCOCC1CO1)Cc1ccccc1OCC1CO1,252.1827,4.0129,2.0545
CCOCCCCN(CCCOCC(=O)O)CCOCC(=O)O,CN(CCCOCC1CO1)CCOCC1CO1,243.7950,5.2434,1.8600
CC(C)(CCNNCCOCC(=O)O)COCC(=O)O,CCOCCCN(CCOCC1CO1)Cc1ccc(OC)c(OCCOCC2CO2)c1,252.2085,3.0090,2.2006
COCCCN(CCCOCC(=O)O)CCCOCC(=O)O,CC(C)N(CCOCCOCC1CO1)Cc1ccccc1COCC1CO1,243.7814,3.9142,1.1548
CN(C)CCCN(CCOCCOCC(=O)O)CCOCC(=O)O,COCCCOc1cc(CN(CC2CO2)CC2CO2)ccc1OC,252.2254,3.8774,2.5739
CCOCCN(CCCOCC(=O)O)CCN(C)CCOCC(=O)O,CCOCCOCC(=O)C=Cc1ccc(OCC2CO2)c(OCC2CO2)c1,252.2297,4.2132,2.0616
O=C(O)COCCCN(CCOCCOCC(=O)O)CCOCc1ccccc1,C=C(C)OCc1ccc(OCCN(CC2CO2)CC2CO2)cc1,252.2316,3.3903,0.7941
O=C(O)COCCCN(CCOCCOCC(=O)O)CCOCc1ccccc1,CC(C)CN(CCOCC1CO1)Cc1ccccc1COCC1CO1,243.7651,4.3084,1.2214
CCOCCN(CCOCCOCC(=O)O)CCOCC(=O)O,CC(C)CCOCc1cccc(C(=O)N(CCCOCC2CO2)CCOCC2CO2)c1,252.2830,3.3382,3.2800
CC(C)CCCN(CCCOCC(=O)O)CCOCC(=O)O,CN(CCCOCC1CO1)CCOCC1CO1,252.3286,5.2708,1.8701
CCCOCCN(CCCOCC(=O)O)CCOCC(=O)O,COCCCOCc1cccc(CN(CC2CO2)CC2CO2)c1,252.3378,3.8147,2.3395
CCCCN(CCCOCC(=O)O)CCN(C)CCOCC(=O)O,CC(C)(COCCOCC1CO1)NCc1ccc(OCCOCC2CO2)cc1,243.6111,3.2002,1.6909
CCCN(CCCOCC(=O)O)CCN(CCCOCC(C)C)CCOCC(=O)O,CCOCc1ccccc1CN(CCOCC1CO1)CC1CO1,243.6073,3.7845,1.6041
CCCCOCCN(CCCOCC(=O)O)CCOCC(=O)O,COc1ccc(CN(CCOCC2CO2)C(C)C)cc1OCCOCC1CO1,252.4733,4.6730,1.5301
CNCCOCCN(CCOCCOCC(=O)O)CCOCC(=O)O,COCCCOC(C)Cc1cccc(OCC2CO2)c1OCC1CO1,252.4850,3.3680,1.7673
CCCCOCCN(CCCOCC(=O)O)CCOCC(=O)O,CCOc1cc(CN(CCCOCC2CO2)CCOCC2CO2)ccc1OC,243.5010,4.2535,1.0861
CCOCCCN(CCOCCOCC(=O)O)CCOCC(=O)O,CC(C)OCc1ccc(OCCN(CC2CO2)CC2CO2)cc1,252.5307,3.8703,0.7849
CCOCCN(CCOCC(=O)O)C(=O)CCN(CCCOCC(=O)O)Cc1ccccc1,CCOC(=O)CCCN(CCOCC1CO1)CCOCC1CO1,252.5395,3.0858,1.7419
O=C(O)COCCCN(CCCOCC(=O)O)CCCOCc1ccccc1,COc1c(COCCC2CO2)cccc1OCCCN(C)CC1CO1,243.4507,5.0996,1.6151
CCCCOCCCN(CCCOCC(=O)O)CCOCC(=O)O,CCOc1cccc(CN(CCOCC2CO2)CCc2ccccc2OCC2CO2)c1,243.4380,4.9894,1.1494
CCOCCCCN(CCCOCC(=O)O)CCOCC(=O)O,CC(C)COCCCN(CC1CO1)CC1CO1,243.4162,5.0504,1.9523
CNCCCOCCN(CCOCCOCC(=O)O)CCOCC(=O)O,COCCCOC(C)c1cccc(OCC2CO2)c1OCC1CO1,252.6193,3.4024,1.8087
CC(C)COCCN(CCCOCC(=O)O)CCN(C)CCOCC(=O)O,CCOc1ccc(CN(CCOCC2CO2)CC2CO2)cc1,252.6604,3.3618,0.6932
CCOCCCN(CCOCC(=O)O)C(=O)CN(CCOCC(=O)O)Cc1ccccc1,CCOCCCN(CCCOCC1CO1)CCOCC1CO1,243.3016,3.4903,2.9664
CCCOCCN(CCCOCC(=O)O)CCOCC(=O)O,N#COCCCN(CCOCC1CO1)Cc1ccccc1COCC1CO1,243.2615,3.3799,1.9921
O=C(O)COCCCN(CCCNC(=O)COCc1ccccc1)CCOCC(=O)O,CC(CN(CCCOCC1CO1)CCOCC1CO1)OCc1ccccc1,252.7601,4.3098,2.1125
CCCCOCCN(CCCOCC(=O)O)CCOCC(=O)O,CCCC(COCC1CO1)N(CCOCC1CO1)Cc1ccccc1,252.7678,3.8854,2.1865
CC(C)COCCN(CCOCC(=O)O)CCOCC(=O)O,CC(C)CN(CCOCC1CO1)CCOCC1CO1,252.7716,4.3227,1.8036
O=C(O)CCOCCCN(CCC(=O)O)CCC(=O)OCC1CCC1,CCCCOc1cccc(CN(CCOCC2CO2)CCOCC2CO2)c1,252.7716,4.2619,1.8784
CC(C)COCCN(CCCOCC(=O)O)CCOCC(=O)O,CCOc1ccc(CN(CCOCC2CO2)CCOCC2CO2)cc1,252.7979,3.3001,0.8118
CCC(=O)CCOCCN(CCC(=O)O)CCC(=O)O,COCCCOCCCN(CCOCC1CO1)CCOCC1CO1,243.1028,3.9357,2.6760
CCCOCCCN(CCOCC(=O)O)CCOCC(=O)O,COCCN(CCCOCC1CO1)Cc1ccc(COCC2CO2)cc1,252.9310,4.1920,2.0273
CC(C)OCCN(CCCOCC(=O)O)CCOCC(=O)O,Cc1cc(CN(CCOCC2CO2)CCOCC2CO2)ccc1OCCc1ccccc1,252.9387,2.9403,2.6145
CC(C)COCCN(CCCOCC(=O)O)CCOCC(=O)O,CC=CCCOCCc1ccc(OCC2CO2)c(OCC2CO2)c1,252.9678,4.6813,2.9588
CC(C)CCOCCN(CCOCC(=O)O)CCOCC(=O)O,C#CCOCc1cccc(CN(CCCOCC2CO2)CCOCC2CO2)c1,252.9772,4.0452,2.3668
COCCCN(CCOCC(=O)O)CCN(CCOCC(=O)O)CC1CC1,CCOCc1ccccc1CN(CCOCC1CO1)CCOCC1CO1,243.0189,3.7081,1.1093
CCCOCCN(CCCOCC(=O)O)CCOCC(=O)O,CCOCc1ccc(COCCN(CC2CO2)CC2CO2)cc1,252.9945,3.7819,2.1277
CC(CCOCc1ccccc1C1CC1)(C(=O)O)C(=O)O,CCOCCCN(CCOCC1CO1)CCOCC1CO1,253.1185,4.0390,1.9763
CCOCCN(CCOCCOCC(=O)O)CCOCC(=O)O,COCc1ccc(CN(CCOCC2CO2)CCOCC2CO2)cc1,242.8649,2.2201,1.7706
CC(C)COCCCN(CCCOCC(=O)O)CCOCC(=O)O,COc1ccccc1COCCCN(CC1CO1)CC1CO1,253.1637,4.3174,1.4674
CCCOCc1cccc(CN(CCCOCC(=O)O)CCOCC(=O)O)c1,COCCCOCCN(CC1CO1)CC1CO1,253.1719,3.6679,1.6118
CCC(CCN(CCOCC(=O)O)CCOCC(=O)O)OCc1ccccc1,CC(C)COCc1ccc(CN(CCOCC2CO2)CCOCC2CO2)cc1,242.8107,3.4298,2.3957
CC(C)COCCN(CCCOCC(=O)O)CCN(CCOCC(=O)O)Cc1ccccc1,CCOc1ccc(CN(CCOCC2CO2)CCOCC2CO2)cc1,242.7570,3.2550,0.6815
