acid,epoxide,tg_pred,pca1,pca2
O=C(Nc1ccc(C(=O)O)cc1)C(=O)Nc1ccc(C(=O)O)c2c1CCCC2,O=C(Nc1c(NC(=O)c2ccccc2)c(C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)c(C(=O)Nc2ccccc2)c(C(=O)Nc2ccccc2)c1C(=O)Nc1ccccc1)c1ccccc1,539.8639,-5.4346,-2.2038
O=C(Nc1c(C(=O)O)c2c(=O)c(=O)c(=O)c(=O)c2c2c(=O)c(=O)c(=O)c(=O)c12)c1ccc(C(=O)O)c(O)c1,O=C(Nc1ccc2oc(=O)ccc2c1)c1ccc(NC(=O)c2cccc(OCC3CO3)c2OCC2CO2)cc1,539.8478,-4.8791,-2.9140
O=C(Nc1cc2c(=O)c(=O)c(=O)c(=O)c2c2c(=O)c(=O)c(=O)c(=O)c12)c1ccc(C(=O)O)c(C(=O)O)c1,O=C(Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1)c1ccc(NC(=O)C2CC2)nc1,538.2589,-4.4436,-2.4079
O=C(O)C(=O)Nc1ccc(C(=O)NC2(C(=O)O)CCCCC2)cc1,O=C(Nc1c(NC(=O)c2ccccc2)c(NC(=O)c2ccccc2)c(C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)c(NC(=O)c2ccccc2)c1NC(=O)c1ccccc1)c1ccccc1,538.0636,-4.3951,-3.5216
O=C(O)CC1(NC(=O)Nc2c(C(=O)O)c3c(=O)c(=O)c(=O)c(=O)c3c3c(=O)c(=O)c(=O)c(=O)c23)CCCCC1,O=C(Nc1ccc(C(=O)Nc2ccc(OCC3CO3)c(C(=O)Nc3ccccc3)c2OCC2CO2)cc1)c1cccnc1,537.9773,-4.8362,-2.9779
Nc1cc(C(=O)O)ccc1C(=O)Nc1c(NC(=O)c2ccc(C(=O)O)cc2)cc2c(=O)c(=O)c(=O)c(=O)c2c1-n1c(=O)c(=O)c(=O)c(=O)c1=O,O=C(Nc1ccccc1C(=O)Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1)c1cccnc1,537.1336,-4.7677,-2.7896
O=C1C(=O)c2c(NC(=O)c3ccc(C(=O)O)cc3)cc3c(=O)c(=O)c(=O)c(=O)c3c2C(C(=O)O)C1=O,O=C(Nc1ccc(C(=O)Nc2ccc(OCC3CO3)c(C(=O)Nc3ccccc3)c2OCC2CO2)cc1)c1cccnc1,536.6002,-4.5399,-2.6991
O=C(O)c1ccc(C(=O)Nc2ccc(C(=O)O)c(-n3c(=O)c(=O)c(=O)c(=O)c3=O)c2C(=O)Nc2ccc3c(c2)CCC3)cc1,O=C(Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1)c1ccc(NC(=O)c2cccnc2)cc1,536.1685,-4.5039,-2.3231
O=C(Nc1ccc(C(=O)O)c(C(=O)Nc2ccc3ccccc3c2)c1)Nc1c(C(=O)O)c2c(=O)c(=O)c(=O)c(=O)c2c2c(=O)c(=O)c(=O)c(=O)c12,CC(=O)NC(=O)c1cc(C)ccc1NC(=O)c1cccc(OCC2CO2)c1C(=O)Nc1cccc(OCC2CO2)c1,535.4506,-4.7074,-2.1554
O=C(O)c1ccc(C(=O)Nc2c(-n3c(=O)c(=O)c(=O)c(=O)c3=O)c(C(=O)O)c3c(=O)c(=O)c(=O)c(=O)c3c2-n2c(=O)c(=O)c(=O)c(=O)c2=O)c(O)c1,O=C(Nc1ccccc1C(=O)Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1)c1cccnc1,534.5095,-4.7571,-2.8054
O=C(O)c1ccc(C(=O)Nc2c(C(=O)O)c3c(=O)c(=O)c(=O)c(=O)c3c3c(=O)c(=O)c(=O)c(=O)c23)c(Oc2cnccn2)c1,O=C(Nc1ccccc1C(=O)Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1)c1cccnc1,533.9879,-4.7432,-2.9482
O=C(O)CC(=O)Nc1ccc(C(=O)Nc2ccc(C(=O)O)c3[nH]c(=O)ccc23)cc1,O=C(O)Nc1c(NC(=O)O)c(NC(=O)O)c(NC(=O)C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)c(NC(=O)O)c1NC(=O)O,533.4612,-4.7347,-3.0082
O=C(Nc1cc2c(=O)c(=O)c(=O)c(=O)c2c2c1C(=O)c1ccccc1C2=O)c1ccc(C(=O)O)c(C(=O)O)c1,O=C(Nc1ccccc1C(=O)Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1)c1cccnc1,533.1479,-4.8163,-2.7301
O=C(O)CC(=O)Nc1cc(C(=O)Nc2ccc(C(=O)O)c(NC(=O)c3ccccc3)c2)cc2cc[nH]c12,O=C(Nc1ccc(C(=O)Nc2ccc3oc(=O)ccc3c2)c(OCC2CO2)c1)c1ccc(OCC2CO2)nc1,533.0516,-4.1134,-2.4049
O=C(Nc1cc2c(=O)c(=O)c(=O)c(=O)c2c2c1C(=O)c1ccccc1C2=O)c1ccc(C(=O)O)c(C(=O)O)c1,O=C(Nc1cccc(C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)c1)c1cccnc1,532.8752,-4.8093,-2.8098
O=C(O)C(=O)Nc1ccc(C(=O)Nc2ccccc2C(=O)O)cc1,O=C(Nc1c(NC(=O)c2ccccc2)c(NC(=O)c2ccccc2)c(C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)c(NC(=O)c2ccc(O)cc2)c1NC(=O)c1ccccc1)c1ccc(O)cc1,532.7475,-5.2351,-3.9205
O=C(Nc1ccccc1)Nc1cc(C(=O)Nc2c(C(=O)O)c3c(=O)c(=O)c(=O)c(=O)c3c3c(=O)c(=O)c(=O)c(=O)c23)ccc1C(=O)O,O=C(Nc1ccnc(C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)c1)c1ccccc1,532.3569,-4.8687,-2.2388
O=C(O)C(=O)N1CCc2c(cccc2C(=O)NC(C(=O)O)c2ccccc2)C1,O=C(Nc1c(NC(=O)c2ccccc2)c(NC(=O)c2ccccc2)c(C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)c(NC(=O)c2ccccc2)c1NC(=O)c1ccccc1)c1ccccc1,532.2787,-4.4187,-3.3520
O=C(O)CC(=O)Nc1cc2c(=O)c(=O)c(=O)c(=O)c2c2c1CC(C(=O)Nc1ccccc1C(=O)O)CC2=O,O=C(Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1)c1ccc(NC(=O)c2ccccc2)nc1,532.2061,-4.6507,-2.2746
O=C(O)CC(=O)Nc1c(N2CCC(C(=O)O)(c3ccccc3)CC2)c2c(=O)c(=O)c(=O)c(=O)c2c2c(=O)c(=O)c(=O)c(=O)c12,O=C(Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1)c1ccc(NC(=O)c2cccnc2)cc1,531.9276,-5.0072,-2.1042
O=C(O)CC(=O)Nc1c(C(=O)Nc2ccc(N3CCCCC3)cc2C(=O)O)c2c(=O)c(=O)c(=O)c(=O)c2c2c(=O)c(=O)c(=O)c(=O)c12,O=C(Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1)C(=O)N1CCN(C(=O)c2cccc(OCc3ccncc3)c2)CC1,531.8018,-4.6335,-2.2838
O=C(O)C(=O)Nc1ccc(C(=O)Nc2ccccc2C(=O)O)cc1,O=C(Nc1c(NC(=O)c2ccccc2O)c(NC(=O)c2ccccc2)c(NC(=O)c2ccc(O)cc2)c(C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)c1NC(=O)c1ccccc1)c1ccc(O)cc1,531.7577,-5.1270,-3.9558
O=C(O)C(=O)Nc1ccc(C(=O)N2CCC(C(=O)O)(c3ccccc3)CC2)cc1,O=C(Nc1c(NC(=O)c2ccccc2)c(NC(=O)c2ccccc2)c(C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)c(NC(=O)c2ccccc2)c1NC(=O)c1ccccc1)c1cccc(O)c1,531.6854,-5.2217,-3.8556
O=C(O)CC(=O)Nc1c(C(=O)N2CCC(C(=O)O)(c3ccccc3)CC2)c2c(=O)c(=O)c(=O)c(=O)c2c2c(=O)c(=O)c(=O)c(=O)c12,O=C(NC(C(=O)O)c1ccccc1)c1ccc(NC(=O)c2ccc(OCC3CO3)cc2OCC2CO2)cc1,531.5160,-4.9056,-2.0492
O=C(O)CC(=O)Nc1cc2c(=O)c(=O)c(=O)c(=O)c2c2c1C(=O)c1ccc(C(=O)Nc3ccccc3C(=O)O)cc1C2,O=C(Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1)c1ccc(NC(=O)c2ccccc2)nc1,531.3297,-4.5546,-2.3073
O=C(O)c1ccc(C(=O)Nc2c(NC(=O)c3ccc(C(=O)O)cc3O)ccc3c(=O)c(=O)c(=O)c(=O)c23)cc1,O=C(Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1)c1ccc(NC(=O)c2ccccc2)nc1,531.2155,-4.8589,-2.7550
Cc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(C(=O)O)c4cc[nH]c34)nc2)cc1C(=O)O,O=C(Nc1ccc(C(=O)Nc2ccc3oc(=O)ccc3c2)c(OCC2CO2)c1)c1cnc(OCC2CO2)nc1,531.1024,-4.7389,-1.9939
O=C(O)CC(=O)Nc1cccc(C(=O)Nc2ccc(C(=O)O)c(N3C(=O)COC3=O)c2)c1,O=C(Nc1ccc(C(=O)Nc2ccc3oc(=O)ccc3c2)c(OCC2CO2)c1)c1ccc(OCC2CO2)nc1,531.1022,-4.1627,-2.5103
O=C(O)CC(=O)Nc1cc2c(=O)c(=O)c(=O)c(=O)c2c2c1C(=O)c1cc(NC(=O)C3(C(=O)O)CCCCC3)ccc1C2,O=C(Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1)C(=O)N1CCN(C(=O)c2cccc(OCc3ccncc3)c2)CC1,530.8588,-4.6673,-2.3499
O=C(O)CCn1c(=O)n(C(=O)c2cccc(C(=O)Nc3ccc(C(=O)O)cc3)c2)c(=O)n(-c2ccccc2)c1=O,O=C(Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1)c1ccc(NC(=O)c2ccccc2)nc1,530.4728,-4.1262,-2.6944
O=C(O)C(=O)Nc1ccc(C(=O)Nc2ccccc2C(=O)O)cc1,O=C(Nc1c(NC(=O)c2ccccc2)c(NC(=O)c2ccccc2)c(C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)c(NC(=O)c2ccccc2)c1NC(=O)c1ccccc1)c1ccc(O)cc1,530.3217,-5.1860,-3.6824
O=C(Nc1ccc(C(=O)O)cc1)Nc1ccc(C(=O)C(=O)O)cc1,O=C(Nc1c(NC(=O)c2ccccc2)c(NC(=O)c2ccccc2)c(C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)c(NC(=O)c2ccccc2)c1NC(=O)c1ccccc1)c1ccccc1,530.1406,-4.4896,-3.5141
Cc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(C(=O)O)c4cc[nH]c34)nc2)cc1C(=O)O,O=C(Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1)c1ccc(NC(=O)c2ccc(NC(=O)c3ccccc3)nc2)cc1,529.9426,-4.9440,-1.9247
O=C(O)CC(=O)Nc1c(C(=O)N2CCC(C(=O)O)(c3ccccc3)CC2)c2c(=O)c(=O)c(=O)c(=O)c2c2c(=O)c(=O)c(=O)c(=O)c12,O=C(Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1)c1ccc(NC(=O)C2CC2)cc1,529.4947,-4.8908,-1.9405
Cc1cc(NC(=O)C(=O)c2ccc(NC(=O)C(=O)O)cc2)ccc1C(=O)O,O=C(Nc1c(NC(=O)c2ccccc2)c(NC(=O)c2ccccc2)c(C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)c(NC(=O)c2ccccc2)c1NC(=O)c1ccccc1)c1ccccc1,529.4022,-4.4084,-3.4830
O=C(Nc1cc2c(c3c(=O)c(=O)c(=O)c(=O)c13)-c1ccccc1CC2=O)c1ccc(C(=O)O)c(C(=O)O)c1,O=C(Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1)c1ccc(NC(=O)c2cccnc2)cc1,529.3876,-4.4949,-2.7384
Cc1ccc(C(=O)Nc2ccc(C(=O)O)c3c2C(=O)c2ccccc2-3)cc1NC(=O)C(=O)N1CCC(C(=O)O)CC1,O=C(Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1)c1ccc(NC(=O)c2ccc(NC(=O)c3ccccc3)nc2)cc1,529.2242,-3.9514,-2.4987
O=C(O)C(=O)c1ccc(NC(=O)C(=O)Nc2cccc(C(=O)O)c2)cc1,O=C(Nc1c(NC(=O)c2ccccc2)c(NC(=O)c2ccccc2)c(C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)c(NC(=O)c2ccccc2)c1NC(=O)c1ccccc1)c1ccccc1,529.0574,-5.0816,-4.1297
O=C(O)C(=O)Nc1ccc(C(=O)Nc2cccc(C(=O)O)c2)cc1,O=C(Nc1c(NC(=O)c2ccccc2)c(NC(=O)c2ccccc2)c(C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)c(NC(=O)c2ccccc2)c1NC(=O)c1ccccc1)c1ccccc1,528.9736,-4.6270,-3.3918
O=C(O)C(=O)Nc1ccc(C(=O)Nc2ccccc2C(=O)O)cc1,O=C(Nc1c(NC(=O)c2ccccc2)c(NC(=O)c2ccccc2)c(C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)c(NC(=O)c2ccccc2)c1NC(=O)c1ccccc1)c1ccccc1,528.7065,-4.6675,-3.3167
O=C(Nc1cc(C(=O)O)cc(C(=O)O)c1)C(=O)Nc1ccc2c(c1)-c1ccccc1CC2=O,O=C(O)Nc1c(O)c(NC(=O)O)c(NC(=O)O)c(C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)c1NC(=O)O,528.5958,-5.4542,-3.2979
O=C(O)C(=O)Nc1ccc(C(=O)Nc2ccccc2C(=O)O)cc1,O=C(Nc1c(NC(=O)c2ccccc2)c(NC(=O)c2ccccc2)c(C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)c(NC(=O)c2ccccc2)c1NC(=O)C1CC1)c1ccc(O)cc1,528.5820,-5.0063,-3.9994
O=C(O)C(=O)Nc1ccc(C(=O)Nc2ccc(C(=O)O)cc2)cc1,O=C(Nc1c(NC(=O)c2ccccc2)c(NC(=O)c2ccccc2)c(C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)c(NC(=O)c2ccccc2)c1NC(=O)c1ccccc1)c1ccccc1,528.5744,-5.1427,-2.8721
O=C(O)c1ccc(C(=O)Nc2cc3c(=O)c(=O)c(=O)c(=O)c3c3c2CC(C(=O)O)(c2ccccc2)CC3)cc1,O=C(Nc1ccc2oc(=O)ccc2c1)c1ccc(NC(=O)c2cccc(OCC3CO3)c2OCC2CO2)cc1,528.4662,-4.6622,-2.8174
O=C(O)c1ccc(C(=O)NC2(C(=O)O)CCc3ccccc3C2)cc1,O=C(Nc1c(NC(=O)c2ccccc2)c(NC(=O)c2ccccc2)c(C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)c(NC(=O)c2ccccc2)c1NC(=O)c1ccccc1)c1ccccc1,528.0197,-4.3343,-3.4247
O=C(O)CC(=O)Nc1ccc(C(=O)Nc2ccc(C(=O)O)c3[nH]c(=O)ccc23)cc1,O=C(O)Nc1c(O)c(NC(=O)O)c(NC(=O)O)c(C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)c1NC(=O)O,527.2978,-4.9074,-2.8119
O=C(O)CC(=O)Nc1cc2c(=O)c(=O)c(=O)c(=O)c2c2c1C(=O)c1cc(NC(=O)c3ccc(C(=O)O)cc3)ccc1C2,O=C(Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1)c1ccc(NC(=O)c2cccnc2)cc1,527.2172,-4.8200,-1.9808
O=C(Nc1ccc(C(=O)C(=O)O)cc1)Nc1cccc(C(=O)O)c1,O=C(Nc1c(NC(=O)c2ccccc2)c(NC(=O)c2ccccc2)c(C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)c(NC(=O)c2cccc(O)c2)c1NC(=O)c1ccccc1)c1cccc(O)c1,527.0659,-5.1879,-3.8510
O=C(O)CCN(CCC(=O)O)C(=O)c1ccc(NC(=O)Nc2ccc3c(c2)CCCC3=O)cc1,O=C(Nc1c(NC(=O)c2ccccc2)c(NC(=O)NC2CC2)c(C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)c(NC(=O)c2ccccc2)c1NC(=O)c1ccccc1)NC1CC1,526.8813,-4.2590,-3.2443
O=C(O)c1ccc(C(=O)Nc2ccc(C(=O)O)c(-n3c(=O)c(=O)c(=O)c(=O)c3=O)c2)cc1,O=C(Nc1ccc2oc(=O)ccc2c1)c1ccc(NC(=O)c2cccc(OCC3CO3)c2OCC2CO2)cc1,526.6993,-4.8135,-2.6942
O=C(Nc1c(C(=O)O)c2c(=O)c(=O)c(=O)c(=O)c2c2c(=O)c(=O)c(=O)c(=O)c12)c1ccc(C(=O)O)c(O)c1,O=C(Nc1ccc2ncccc2c1)c1ccc(NC(=O)c2cccc(OCC3CO3)c2OCC2CO2)cc1,526.6603,-4.7759,-2.9976
O=C(O)CC(=O)Nc1ccc(C(NC(=O)c2ccccc2)C(=O)O)cc1,O=C(Nc1c(NC(=O)c2ccccc2)c(NC(=O)c2ccccc2)c(C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)c(NC(=O)c2ccccc2)c1NC(=O)C1CC1)c1ccccc1,526.4013,-4.4660,-3.3867
O=C(O)CCNC(=O)c1c(C(=O)Nc2ccccc2)c(C(=O)Nc2ccccc2)c(C(=O)Nc2ccc(C(=O)O)cc2)c(C(=O)Nc2ccccc2)c1C(=O)Nc1ccccc1,O=C(Nc1ccccc1C(=O)Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1)c1cccnc1,526.3654,-5.0635,-2.7796
O=C(O)c1ccc(C(=O)Nc2cc3c(=O)c(=O)c(=O)c(=O)c3c3c2CC(C(=O)O)(c2ccccc2)CC3)cc1,O=C(Nc1ccc(C(=O)Nc2cc(OCC3CO3)ccc2C(=O)NC2CCCCC2)cc1)c1ccc(OCC2CO2)nc1,525.8622,-4.6282,-2.8503
Cc1ccc(C(=O)Nc2ccc(C(=O)O)cc2)cc1NC(=O)C(=O)O,O=C(Nc1c(NC(=O)c2ccccc2)c(NC(=O)c2ccccc2)c(C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)c(NC(=O)c2ccccc2)c1NC(=O)c1ccccc1)c1ccccc1,525.8066,-4.7223,-3.5290
O=C(O)CC(=O)Nc1c(C(=O)N2CCC(C(=O)O)(c3ccccc3)CC2)c2c(=O)c(=O)c(=O)c(=O)c2c2c(=O)c(=O)c(=O)c(=O)c12,CC(C)(C)NC(=O)c1ccc(C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)cc1,525.7714,-4.9710,-1.9499
O=C(O)c1cc(C(=O)O)cc(C(=O)Nc2cc3c(=O)c(=O)c(=O)c(=O)c3c3c2C(=O)c2ccccc2C3=O)c1,O=C(Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1)c1ccc(NC(=O)c2ccccc2)nc1,525.6159,-4.7903,-2.7158
O=C(Nc1c(C(=O)O)c2c(=O)c(=O)c(=O)c(=O)c2c2c(=O)c(=O)c(=O)c(=O)c12)c1ccc(C(=O)O)c(O)c1,O=C(NC(C(=O)O)c1ccccc1)c1cccc(NC(=O)c2cccc(OCC3CO3)c2OCC2CO2)c1,525.4335,-4.7740,-2.6229
O=C(O)c1ccc(C(=O)Nc2cc3c(=O)c(=O)c(=O)c(=O)c3c3c2CC(C(=O)O)(c2ccccc2)CC3)cc1,O=C(Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1)c1ccc(N2CCN(C(=O)c3cccnc3)CC2)cc1,525.3303,-4.6355,-2.6985
O=C(O)c1ccc(C(=O)Nc2c(-n3c(=O)c(=O)c(=O)c(=O)c3=O)cc(-n3c(=O)c(=O)c(=O)c(=O)c3=O)c(N3CCC(C(=O)O)(c4ccccc4)CC3)c2-n2c(=O)c(=O)c(=O)c(=O)c2=O)cc1,CC(C)NC(=O)c1ccccc1NC(=O)Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1,525.3235,-4.8921,-2.4939
O=C(O)c1ccc(C(=O)Nc2c(C(=O)O)c3c(=O)c(=O)c(=O)c(=O)c3c3c(=O)c(=O)c(=O)c(=O)c23)cc1,O=C(Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1)c1ccc(NC(=O)C2CC2)cc1,525.1287,-4.6416,-2.6860
Cc1cc2c(C(=O)O)cc(NC(=O)c3ccc(NC(=O)C4(C(=O)O)Cc5ccccc5C4)c(C)c3)cc2[nH]1,O=C(Nc1cccc(C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)c1)c1ccc(C(=O)c2ccccc2)nc1,525.1180,-4.7714,-2.9346
Cc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(C(=O)O)c4cc[nH]c34)nc2)cc1C(=O)O,CN(C(=O)c1ccc(NC(=O)c2cnc(C(=O)Nc3ccc(OCC4CO4)cc3)nc2)cc1OCC1CO1)c1ccccc1,525.0769,-4.9019,-1.9036
O=C(O)C(=O)Nc1ccc(C(=O)Nc2ccc(C(=O)O)cc2)cc1,O=C(O)Nc1c(NC(=O)c2ccccc2)c(NC(=O)O)c(C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)c(NC(=O)c2ccccc2)c1NC(=O)c1ccccc1,525.0748,-5.0735,-2.5735
O=C(Nc1cc(C(=O)O)cc(C(=O)O)c1)C(=O)Nc1ccc2c(c1)CCCC2,O=C(Nc1ccccc1)C1=C(C(=O)Nc2ccccc2)C(=O)N(C(=O)c2cc(OCC3CO3)ccc2NC(=O)C2CO2)C(=O)C1=O,524.9635,-5.2946,-2.5083
O=C(O)CC(=O)Nc1cc(C(=O)Nc2ccc(C(=O)O)c(NC(=O)c3ccccc3)c2)cc2cc[nH]c12,O=C(Nc1ccc(C(=O)Nc2cc(OCC3CO3)ccc2C(=O)Nc2ccccc2)cc1)c1cncc(OCC2CO2)c1,524.5913,-4.4319,-3.2600
O=C(Nc1cc2c(=O)c(=O)c(=O)c(=O)c2c2c1C(=O)c1ccccc1C2=O)c1ccc(C(=O)O)c(C(=O)O)c1,O=C(Nc1ccccc1C(=O)N1CCN(C(=O)c2ccncc2)CC1)c1ccc(OCC2CO2)cc1OCC1CO1,524.5896,-4.7992,-2.5745
O=C(O)CC(=O)Nc1ccc2c(c1)C(C(=O)Nc1ccccc1C(=O)O)C(=O)C(=O)C2=O,O=C(Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1)c1ccc(NC(=O)c2ccccc2)nc1,524.0300,-4.5663,-2.3839
O=C(O)c1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(C(=O)O)c4cc[nH]c34)nc2)cc1,O=C(Nc1ccc(OCC2CO2)cc1)c1ccc(NC(=O)c2cnc(C(=O)Nc3ccc(OCC4CO4)cc3)nc2)cc1,523.7401,-4.9896,-1.8900
