acid,epoxide,pca1,pca2,dist,tg
O=CCCCC(=O)OCC(=O)N(CCC(=O)O)CCC(=O)O,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,2.9543,-1.0642,6.0674,339.0958
O=C(O)CCC(OCC(=O)O)c1cccc(O)c1,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,0.2090,0.0207,6.6539,361.5742
O=C(O)CCCCCCCC1CCN(C(=O)O)CC1,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,5.9199,-2.3180,7.4941,333.0964
O=C(O)CCCC1(C(=O)CCCCC(O)CCC(=O)O)CCC1,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,4.3967,-1.6407,7.6241,341.2453
COc1cc(OC(=O)OCC(=O)O)ccc1COCC(=O)O,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,-1.2535,0.7190,7.8651,351.8917
O=C(O)COC(=O)C(CC(=O)O)c1ccccc1,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,-0.4327,-0.1858,7.8720,382.7498
O=C(O)CCCCC(O)C(=O)O,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,4.6366,-1.6678,8.2863,315.6955
O=C(O)CCCCCc1ccc(CCCC(=O)O)cc1,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,5.1935,-2.1955,8.4421,358.6853
CN(C)CCC(c1ccccc1)C(C(=O)O)C(=O)O,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,3.1438,-1.5557,8.4423,380.8010
CCCCC(=O)Nc1ccccc1C(=O)NCC(=O)N(CCC(=O)O)CCC(=O)O,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,0.2830,-0.0081,8.5218,375.7346
O=C(O)CCCN1CCC(CCOCC(=O)O)CC1,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,2.7819,-1.1098,8.6553,332.9358
CCCCCCOc1c(CCC(=O)O)cc(O)cc1CCC(=O)O,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,5.3877,-1.7293,8.7578,314.6809
O=C(O)CCCCOCCCC(=O)O,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,3.2597,-1.3592,8.7792,349.5269
CCCCCNCCOc1cccc(C(COCC(=O)O)COCC(=O)O)c1OC,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,2.5286,-0.6272,8.9077,330.8370
NCCc1cccc(CC(=O)O)c1OCC(=O)O,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,2.7464,-1.0729,8.9898,335.2215
CC(CCOCCCC(=O)O)CNCC(=O)O,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,2.2197,-0.8014,9.1826,334.9057
Cc1cc(C)c(CCNC(CC(=O)O)C(=O)O)cc1C,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,1.2463,-0.3696,9.1921,382.5470
CC(=O)CCC(CCC(=O)O)(CCC(=O)O)Cc1ccccc1,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,5.0014,-1.9360,9.7939,347.5681
O=C(O)CCCCC(=O)NC(CO)C(=O)NC(=O)NCCC(=O)O,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,2.5076,-0.8709,9.9087,355.3044
O=CCCCCCN(CCC(=O)O)CCC(=O)O,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,3.9216,-1.2398,9.9162,330.1984
O=C(O)CCC(Oc1ccccc1)C(=O)O,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,3.1477,-1.4037,10.0448,367.8178
O=C(O)CCc1ccc(COCC(=O)O)cc1,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,4.9025,-1.9188,10.1057,339.1651
CCCCCNC1CCN(C(=O)C(CCC(=O)O)CCC(=O)O)CC1,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,2.4422,-0.2905,10.1685,324.8381
CCCN(CCOCC(=O)O)CCOCC(=O)O,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,-0.2191,0.6638,10.2754,307.7960
O=C(O)C1(CC(=O)C2(C(=O)O)CCCCC2)CCCC1,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,0.2060,-0.4064,10.4188,378.2982
Cc1ccc(C)c(Oc2ccccc2OC(C(=O)O)C(=O)O)c1,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,-2.9427,1.2006,10.7923,404.5764
O=CCCOc1ccc(CC(O)(COCC(=O)O)OCC(=O)O)cc1,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,1.7703,-0.5397,10.8282,326.0236
Cc1cccc(CNC(=O)N(CCC(=O)O)CC(=O)O)c1O,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,-0.4137,0.5340,11.1291,365.5460
O=CCCCOc1ccc(COCOCC(=O)O)c(OCCOCC(=O)O)c1,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,3.6938,-1.0482,11.2272,319.4908
COCC(C)(C)C(=O)OC(C(=O)O)C(=O)O,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,0.7449,-0.3762,11.5559,366.6193
Cc1ccc(C)c(OC2CCNC(OCC(=O)N(CCC(=O)O)CCC(=O)O)C2)c1,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,1.0860,0.1264,11.7516,321.4508
COc1c(C)cnc(CNC(=O)C(CCC(=O)O)CCC(=O)O)c1OC,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,-1.0248,0.6158,11.7800,357.0654
O=CCCN=CCc1ccccc1N(CCC(=O)O)CCC(=O)O,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,3.1918,-0.8049,11.8637,308.7723
O=CCCCCCC(=O)Oc1cccc(C(=O)O)c1C(=O)O,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,5.0871,-2.3095,12.8459,397.7266
CN(C)C1CCN(CN(CCOCC(=O)O)CCOCC(=O)O)CC1,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,-0.4640,1.0724,13.0319,286.5293
O=COCC1=CC(CN2C(=O)CC(CN3CCC(C(=O)O)C3)C2=O)=C(CCC(=O)O)CN1,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,1.6196,-0.4987,14.0608,363.1597
COc1cc(C(=O)O)c(N(CC(=O)O)c2c[nH]c3ccc(OC)c(C)c23)cc1OC,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,-2.0387,0.7206,14.0676,418.2798
O=C(CCC(C(=O)O)C(=O)O)OCc1ccccc1,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,4.5499,-2.3178,14.4297,379.8396
CCC(C)(Cc1ccc(C(=O)NC(C)C(=O)NC(C)C(=O)O)cc1)C(=O)O,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,0.9292,-0.4984,15.5689,408.8620
O=C(O)COCC1CCCCC1CC(=O)O,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,3.1224,-1.6572,15.7745,329.0513
O=C(O)COCCOCCCOc1ccccc1COCC(=O)O,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,4.0528,-1.7302,15.9481,356.2210
CC(C)(CCCC1(CCC2(CCCCCCCCCCCCCCCCCCCCCC(=O)O)CCC2)CCC1)CC(=O)O,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,8.0558,-3.5941,16.7153,349.4202
NCNc1ccc(N2CCC(NCCC3(C(=O)O)CCCC3)CC2)c2ncc(NCCNCC(=O)O)cc12,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,-2.1225,0.9546,16.9487,375.3463
CC(=O)CCC(C(=O)O)C(=O)CCC(C)(C)C(=O)O,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,6.0416,-2.4911,17.1989,338.5050
CCOCC(O)C1CCC2(CCC(OCCCCC3CCC(OCC(O)CCCCOCC(C)(C)CCCOCCOCC(CCC(=O)O)C(O)COCC(O)C(C)(C)CCOC4CC(C(C)(C)COCC(O)COCC(C)COCCCOCCOCC(C)COCC(C)COCCCOCCOc5ccc(OCCCc6ccc(COCC(=O)O)cn6)cc5)C4)CC3)CC2)CC1,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,5.5088,-1.9885,17.2058,320.9434
Cc1cccc(Nc2c(C(=O)O)ccc(O)c2C(=O)O)c1C,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,-4.8232,2.3971,17.7236,377.9677
O=CC(=O)Oc1ccc(Oc2ccccc2Oc2ccc(C(=O)O)cc2C(=O)O)cc1,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,-0.1988,0.0715,18.7288,377.3628
COC1CCNCC1(C)C(C)(C(=O)O)C(C)C(=O)O,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,-2.5507,1.0951,18.9054,351.3235
CCOc1ccc(Oc2ccc(N3CCN(C4CCN(CC5CCN(CCOCCN(C)C6CCN(CC(C)(COCC(=O)O)COCC(=O)O)CC6)CC5)CC4)CC3)cc2)cc1,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,-1.6982,1.5304,19.1423,308.2737
